State,EST_ST,WEEK,count,anxiety_percentage,depression_percentage
Idaho,16,28,1234,18.57617504051864,15.376823338735818
Idaho,16,29,1324,17.313444108761328,14.331570996978853
Idaho,16,30,990,23.154545454545456,19.166666666666668
Idaho,16,31,1165,19.676394849785407,16.28755364806867
Idaho,16,32,1197,19.150375939849624,15.852130325814537
Idaho,16,33,1213,18.897774113767518,15.643033800494642
Idaho,16,34,1091,21.010999083409715,17.3923006416132
Idaho,16,35,1137,20.160949868073878,16.688654353562004
Idaho,16,36,1245,18.412048192771085,15.240963855421686
Idaho,16,37,1183,19.37700760777684,16.039729501267963
Idaho,16,38,1124,20.394128113879002,16.881672597864767
Idaho,16,39,1119,20.485254691689008,16.95710455764075
Illinois,17,1,1564,20.9769820971867,17.218670076726344
Illinois,17,2,988,33.20647773279352,27.257085020242915
Illinois,17,3,3329,9.8552117753079,8.089516371282668
Illinois,17,4,2353,13.943051423714406,11.444963875903102
Illinois,17,5,2301,14.258148631029988,11.70360712733594
Illinois,17,6,1897,17.294675803900898,14.196099103848182
Illinois,17,7,1768,18.556561085972852,15.231900452488688
Illinois,17,8,2580,12.716279069767442,10.437984496124031
Illinois,17,9,2189,14.987665600730928,12.302421196893558
Illinois,17,10,2004,16.37125748502994,13.43812375249501
Illinois,17,11,2177,15.070280202112999,12.370234267340377
Illinois,17,12,1967,16.67920691408236,13.690899847483477
Illinois,17,13,2685,12.218994413407822,10.02979515828678
Illinois,17,14,2592,12.657407407407407,10.38966049382716
Illinois,17,15,2324,14.117039586919105,11.587779690189329
Illinois,17,16,2333,14.06258036862409,11.543077582511787
Illinois,17,17,2168,15.132841328413285,12.421586715867159
Illinois,17,18,1464,22.40983606557377,18.3948087431694
Illinois,17,19,1821,18.0164744645799,14.788577704557936
Illinois,17,20,1860,17.638709677419357,14.478494623655914
Illinois,17,21,1718,19.09662398137369,15.675203725261932
Illinois,17,22,1692,19.390070921985817,15.916075650118204
Illinois,17,23,1902,17.249211356466876,14.158780231335436
Illinois,17,24,1912,17.15899581589958,14.084728033472803
Illinois,17,25,1949,16.83324781939456,13.817342226782966
Illinois,17,26,1953,16.798771121351766,13.789042498719919
Illinois,17,27,1972,16.636916835699797,13.656186612576064
Illinois,17,28,1848,17.753246753246753,14.572510822510823
Illinois,17,29,1941,16.902627511591962,13.874291602266872
Illinois,17,30,1555,21.098392282958198,17.318327974276528
Illinois,17,31,1653,19.8475499092559,16.29159104658197
Illinois,17,32,1521,21.570019723865876,17.705456936226167
Illinois,17,33,1529,21.45716154349248,17.612818835840418
Illinois,17,34,1286,25.511664074650078,20.94090202177294
Illinois,17,35,1377,23.825708061002178,19.557007988380537
Illinois,17,36,1387,23.653929343907713,19.41600576784427
Illinois,17,37,1379,23.79115300942712,19.528643944887598
Illinois,17,38,1263,25.97624703087886,21.322248614410135
Illinois,17,39,1235,26.565182186234818,21.805668016194332
Indiana,18,1,1165,21.12274678111588,17.935622317596568
Indiana,18,2,727,33.84869325997249,28.7414030261348
Indiana,18,3,2394,10.279030910609858,8.728070175438596
Indiana,18,4,1784,13.79372197309417,11.71244394618834
Indiana,18,5,1913,12.863565081024568,10.92263460533194
Indiana,18,6,1435,17.14843205574913,14.560975609756097
Indiana,18,7,1388,17.729106628242075,15.054034582132564
Indiana,18,8,2004,12.27944111776447,10.426646706586826
Indiana,18,9,1659,14.833031946955998,12.594936708860759
Indiana,18,10,1587,15.505986137366099,13.166351606805293
