Region,Week,Anxiety Percentage,Depression Percentage,Covid Cases Percentage,Covid Deaths Percentage
Texas,4,14.358339984038308,12.118116520351156,0.0404220548305809,0.06513576318319
Texas,5,13.396128071481757,11.3060312732688,0.0467193660776519,0.0717628861120355
Texas,6,16.570112825236013,13.98480313147594,0.0548389641918715,0.0788541932977506
Texas,7,18.461775269368907,15.58132375577219,0.0648893691510225,0.0854527510415581
Texas,8,12.217996604414262,10.311714770797964,0.082554117758001,0.0938723393315461
Texas,9,12.703265666372465,10.721270962047662,0.109893634574219,0.102841807433518
Texas,10,15.24338063969498,12.86507095954247,0.145097515366965,0.114439272558998
Texas,11,15.449549162730786,13.039072563331905,0.190538528231473,0.138398321509727
Texas,12,15.413150567573355,13.008352966373955,0.242761130322118,0.17222664189113
Texas,13,13.03695652173913,11.002898550724638,0.966279948632632,1.11895542831353
Texas,14,13.091504456976534,11.048935783154448,1.05899917514753,1.29068932076275
Texas,15,14.60604830525675,12.327176781002638,1.1695570247366,1.42658818858164
Texas,16,15.536269430051814,13.112262521588946,1.27921240036519,1.5451979781562
Texas,17,17.004725897920604,14.351606805293006,1.38967700764933,1.64144836914217
Texas,18,25.6830835117773,21.67594575303355,1.5404786725524,1.74495431712783
Texas,19,21.116197183098592,17.821596244131456,1.75973801322791,1.89250778044227
Texas,20,20.001111728738188,16.880489160644803,2.0208171945484,2.07411094432217
Texas,21,21.360641139804095,18.02790145443752,2.38332824095759,2.3148940303048
Texas,22,20.10167597765363,16.96536312849162,3.18132316813243,2.89523861213192
Texas,23,17.040966137816717,14.382192753966375,3.61267455964354,3.31282591090804
Texas,24,17.365830115830114,14.656370656370656,3.96550513902902,3.71750888734319
Texas,25,16.928722653493296,14.287461773700306,4.12253779067878,3.97758775581909
Texas,26,16.153535353535354,13.633221099887766,4.26008522562498,4.25062807700603
Texas,27,17.509489051094892,14.777615571776156,4.35055911923644,4.43173135014775
Texas,28,19.439222042139384,16.406266882766072,4.50104298429396,4.62855261635671
Texas,29,17.795252225519288,15.018793273986152,4.56876660426137,4.69516662786562
Texas,30,22.04104134762634,18.602143950995405,4.61671121545131,4.75293971460524
Texas,31,18.858490566037737,15.916142557651993,4.65140717424749,4.80226464786982
Texas,32,20.346055979643765,17.171614362454058,4.68807928790165,4.84234160247832
Texas,33,20.43851178642431,17.24964498721954,4.71600347883281,4.87470595712651
Texas,34,21.15343915343915,17.853027630805407,4.87752036996674,4.94266253233222
Texas,35,18.765058670143414,15.83728813559322,5.14841933613717,5.01638213361937
Texas,36,19.108868826340945,16.127456186935742,5.50359709957843,5.18763041792294
Texas,37,20.47339971550498,17.27908961593172,5.88827483677907,5.48094487919069
Texas,38,22.40473225404732,18.90909090909091,6.23606536039193,5.84505815157544
Texas,39,23.594754098360657,19.913442622950814,6.45724314027245,6.19726688309555
Utah,1,18.669676048858204,15.688263409453,0.0532118160903435,0.0959481617055114
Utah,2,37.67952840300107,31.662379421221864,0.0332111519575153,0.0650607397866139
Utah,3,10.06729667812142,8.459621993127147,0.0387095078228163,0.0786972079742123
Utah,4,17.115384615384617,14.382181110029212,0.0448600886742719,0.0949623929208658
Utah,5,16.118752865657957,13.544704264099035,0.0522122790437884,0.109091745500787
Utah,6,18.522128556375133,15.56427818756586,0.0642022130562109,0.119935202131889
Utah,7,30.596170583115754,25.710182767624023,0.0769093239206292,0.137350450660629
Utah,8,11.89276048714479,9.993572395128552,0.0936651010891445,0.154601404391929
Utah,9,15.928862709560487,13.385138196647032,0.113516015086839,0.164951976630708
Utah,10,18.290842872008323,15.369927159209157,0.13451711837547,0.181710045969684
Utah,11,20.01993166287016,16.822892938496583,0.158557427719917,0.21046163552185
Utah,12,21.593980343980345,18.14557739557739,0.181903112943564,0.240198993858661
Utah,13,11.66777298373714,9.804513773647528,0.585744045138516,0.846446796415745
Utah,14,11.041143216080402,9.277952261306533,0.65143293423509,0.910193177822831
Utah,15,12.126595377716454,10.190065539841324,0.76824796284111,0.947159507247044
Utah,16,11.98602113876577,10.071939993181044,0.936012317544007,1.04902228166043
Utah,17,12.270506108202444,10.310994764397906,1.14101032934033,1.18062241441063
Utah,18,15.98681218735789,13.433833560709411,1.41787487436212,1.33456663961279
Utah,19,14.319755600814664,12.032993890020366,1.87521539549746,1.57985877219212
Utah,20,16.396921641791046,13.778451492537313,2.34720526870772,1.90351952315078
Utah,21,16.598205854579792,13.94759206798867,2.79647822684004,2.31803529709428
Utah,22,16.860911270983213,14.168345323741008,3.64592774940278,3.04750419773207
Utah,23,15.192307692307692,12.766205704407952,3.97429641770884,3.43721145726199
Utah,24,16.901442307692307,14.202403846153846,4.17911400765561,3.74641426604585
Utah,25,16.4506317267197,13.823584464202153,4.31468839806949,3.99975684369979
Utah,26,16.68485999050783,14.020408163265309,4.40806482419934,4.25638531730254
Utah,27,16.966698841698843,14.257239382239382,4.48496422491824,4.4339879933362
Utah,28,23.689353099730457,19.90633423180593,4.61550484572944,4.63869931094762
Utah,29,16.917709335899904,14.216073147256978,4.67590376619695,4.72347542642715
Utah,30,21.13950691521347,17.763680096211665,4.72783007660919,4.85014671525411
Utah,31,18.96170442286947,15.933656957928802,4.7673415595533,4.9203005937614
Utah,32,19.252464403066817,16.177984665936474,4.81062476126243,4.96334583069093
Utah,33,19.220885729907053,16.151448879168946,4.86366427448644,5.04927200975254
Utah,34,19.951759364358683,16.76560726447219,5.03711011323194,5.21060950083955
Utah,35,18.669676048858204,15.688263409453,5.17611432300594,5.35798193414407
Utah,36,18.880236305048335,15.865198711063371,5.34425124882817,5.54034915930352
Utah,37,18.971937398812734,15.94225580140313,5.56089639312276,5.73668144224545
Utah,38,20.297344110854503,17.056004618937646,5.81249646655084,6.03569797358797
Utah,39,21.862562189054728,18.371268656716417,6.0365100391814,6.32978566100726
Vermont,1,13.522232734153263,10.915799432355724,0.201806076581303,0.899926953981008
Vermont,2,25.20811287477954,20.349206349206348,0.0991827946969907,0.464572680788897
Vermont,3,9.471835652750164,7.646123260437376,0.100759684657846,0.468955441928415
Vermont,4,13.50945179584121,10.905482041587902,0.102874150741721,0.473338203067933
Vermont,5,13.017304189435338,10.508196721311476,0.105329081703507,0.482103725346969
Vermont,6,14.997901364113329,12.107030430220355,0.113267289120086,0.482103725346969
