state,EST_ST,week,count,anxiety_percentage,depression_percentage,total_cases,total_deaths,total_cases_us,total_deaths_us,total_cases_state_all_weeks,total_deaths_state_all_weeks,percentage_cases_spatial,percentage_deaths_spatial,percentage_cases_state,percentage_deaths_state
Idaho,16,28,1234,18.57617504051864,15.376823338735818,2412396,26319,413555826,7388536,53571270,578161,0.583330193491217,0.35621400504782,4.50315252933149,4.55219220943647
Idaho,16,29,1324,17.313444108761328,14.331570996978853,2447470,26708,422815728,7515404,53571270,578161,0.578850273989808,0.355376770164319,4.56862418979427,4.61947450623615
Idaho,16,30,990,23.154545454545456,19.166666666666668,2476961,26984,429112805,7628850,53571270,578161,0.577228405011125,0.353709930068097,4.62367421940902,4.66721207414544
Idaho,16,31,1165,19.676394849785407,16.28755364806867,2501446,27261,432772697,7733730,53571270,578161,0.578004577770302,0.352494850479652,4.66937968803054,4.71512260425729
Idaho,16,32,1197,19.150375939849624,15.852130325814535,2520020,27595,434955807,7800559,53571270,578161,0.57937380291143,0.353756698718643,4.70405125732506,4.77289197991563
Idaho,16,33,1213,18.89777411376752,15.643033800494642,2534699,27976,437380590,7853097,53571270,578161,0.579517943400278,0.356241620344178,4.73145213843166,4.83879057909475
Idaho,16,34,1091,21.010999083409715,17.3923006416132,2591819,28489,451183101,7948347,53571270,578161,0.574449484977497,0.358426726965997,4.83807645403964,4.9275201890131
Idaho,16,35,1137,20.16094986807388,16.688654353562004,2677584,29006,470282286,8038989,53571270,578161,0.569356762886876,0.360816515609115,4.99817159458792,5.01694164774172
Idaho,16,36,1245,18.412048192771085,15.240963855421686,2799749,29980,496698578,8212460,53571270,578161,0.563671635878933,0.365055050496441,5.2262136029256,5.18540683304477
Idaho,16,37,1183,19.37700760777684,16.039729501267963,2973011,31452,525106961,8480704,53571270,578161,0.566172460242819,0.370865437586314,5.54963696025874,5.44000719522763
Idaho,16,38,1124,20.394128113879,16.881672597864767,3191715,34825,551080385,8831887,53571270,578161,0.579174125386444,0.394309845676241,5.95788563534148,6.02340870449581
Idaho,16,39,1119,20.485254691689008,16.95710455764075,3421702,39216,570984508,9178044,53571270,578161,0.599263544292168,0.427280583967564,6.38719597276675,6.78288573598012
Illinois,17,1,1564,20.9769820971867,17.218670076726344,665319,29221,13644993,786250,377991827,7389123,4.87592042003979,3.71650238473768,0.176014123183674,0.395459650624303
Illinois,17,2,988,33.20647773279352,27.257085020242915,460451,20286,7940175,474933,377991827,7389123,5.79900317058503,4.27133932575753,0.121815067710446,0.274538669880039
Illinois,17,3,3329,9.8552117753079,8.089516371282668,560714,25023,8896630,534045,377991827,7389123,6.30254377219239,4.68556020560065,0.148340244404279,0.338646413112896
Illinois,17,4,2353,13.943051423714406,11.444963875903102,653080,28947,9837494,582599,377991827,7389123,6.63868257505418,4.96859761173637,0.172776222486948,0.391751497437517
Illinois,17,5,2301,14.258148631029988,11.70360712733594,718710,32352,10727153,623896,377991827,7389123,6.69991376090189,5.18547963122059,0.190139031762716,0.437832744156512
Illinois,17,6,1897,17.294675803900898,14.196099103848182,766651,35822,11646234,661268,377991827,7389123,6.58282325428117,5.41716822831288,0.20282211022515,0.484793662251934
Illinois,17,7,1768,18.556561085972852,15.231900452488688,800169,39011,12570310,693159,377991827,7389123,6.36554707083596,5.62800165618567,0.211689497720277,0.527951693320033
