state,week,Negative,Positive,Anxiety,Depression,Covid Cases,Covid Deaths
North Carolina,34,1.96078431372549,1.827956989247312,19.82066115702479,16.2198347107438,5.0165131940658,5.00734368532188
North Dakota,34,1.649484536082474,1.714898177920686,25.43324937027708,20.94962216624685,4.70329232248657,4.80738415714663
Ohio,34,0.8101851851851852,1.0097087378640777,22.07668711656442,18.650306748466257,5.07858214586667,5.20555574241217
Oklahoma,34,2.6522593320235757,1.5375854214123006,22.935729847494553,19.315904139433552,4.95482016524133,5.81922102706662
Oregon,34,1.2405609492988134,1.9055509527754764,22.34975369458128,18.763546798029555,5.17718451503204,5.17703208793157
Pennsylvania,34,0.8184523809523809,1.7012227538543327,20.430387409200968,17.009685230024214,5.32825949205957,4.77625131879114
Rhode Island,34,1.0416666666666667,2.4479804161566707,25.24455611390285,20.172529313232832,5.09439375716487,4.42089502950367
South Carolina,34,1.8571428571428572,1.1807447774750226,20.167556029882604,16.849519743863393,4.90388548500941,4.78135802170708
South Dakota,34,2.107728337236534,2.349869451697128,20.6144578313253,16.583476764199656,4.74636409947593,5.0733626006502
Tennessee,34,4.067796610169491,2.3241206030150754,20.918819188191883,17.654059040590408,4.80093664190564,5.06855689627185
Texas,34,6.593406593406593,6.920684292379471,21.15343915343915,17.853027630805407,4.87752036996674,4.94266253233222
Utah,34,1.5695067264573992,2.745664739884393,19.951759364358683,16.76560726447219,5.03711011323194,5.21060950083955
Vermont,34,2.903946388682055,2.1398002853067046,25.43238434163701,20.530249110320284,5.77233113614026,4.92476260043828
Virginia,34,0.7407407407407407,1.2355212355212355,18.54130052724077,15.28646748681898,5.02237537845445,5.14220225404641
Washington,34,1.5852885225110973,2.0276497695852536,21.129708904109588,17.75428082191781,5.12665390448767,4.63474397741607
West Virginia,34,1.8497109826589595,1.6614745586708204,23.84769230769231,20.49230769230769,5.27071882106878,5.44281651935559
Wisconsin,34,2.139364303178484,2.1048603138155375,20.507389162561577,16.888669950738915,4.78138000983697,5.11897223163289
Wyoming,34,6.097560975609756,3.7246049661399554,25.14867617107943,20.910386965376784,5.02811232100578,5.33702333750233
Alabama,35,3.5714285714285716,2.8282828282828283,19.52910052910053,16.900529100529102,5.09280953268367,5.19480519480519
Alaska,35,0.5128205128205128,1.3975155279503106,20.441687344913152,17.191894127378,5.33169425463601,5.42827544844883
Arizona,35,3.1055900621118013,3.0155642023346303,19.82633371169126,16.92338251986379,5.10863099680907,5.01782592912016
Arkansas,35,0.7936507936507936,0.8802816901408451,21.353951890034363,18.211912943871702,5.35967342231419,5.13946912455011
California,35,1.1965811965811963,2.192448233861145,20.014661183622387,16.838369390309314,5.2416785938298,5.24672416730477
Colorado,35,0.1829826166514181,0.8378511582060129,20.111641791044775,16.536716417910448,5.45961961677482,4.76599592341843
Connecticut,35,2.1567814184985483,2.1150033046926637,18.563517915309447,14.9242671009772,5.24329671897601,3.9859153316683
Delaware,35,0.8581752484191508,1.2216404886561956,20.730864197530863,17.12962962962963,5.25124458415718,4.9268121477383
Florida,35,4.311377245508982,2.324159021406728,18.784504504504504,15.584864864864866,5.42929829102449,4.87194426720042
Georgia,35,1.863799283154122,3.187042842215256,19.175352544451258,15.980993255671368,5.05241541240962,4.93579858077202
Hawaii,35,1.2165450121654502,1.6210739614994931,22.490641711229948,18.75401069518717,5.34650623935279,4.98901098901099
Idaho,35,4.519774011299435,2.106318956870612,20.16094986807388,16.688654353562004,4.99817159458792,5.01694164774172
Illinois,35,2.1134593993325916,2.1824875098606364,23.825708061002175,19.557007988380537,4.99096452685999,4.58090899285341
Indiana,35,0.7252946509519492,0.9229098805646035,20.387738193869097,17.311516155758078,5.09299475454786,4.8365353765146
Iowa,35,1.935483870967742,1.3220518244315178,17.975925925925925,14.798148148148147,4.80853470370259,4.99638028794066
Kansas,35,5.187319884726225,1.4888337468982633,17.343307086614175,14.40236220472441,5.09605519446227,5.3296832070014
Kentucky,35,1.486988847583643,2.6264591439688716,21.19344262295082,17.8775956284153,5.23124517333872,5.61249980461095
Louisiana,35,0.70298769771529,0.5184331797235023,19.897832817337463,17.03405572755418,5.28186814276928,4.3268150805246
Maryland,35,2.4013722126929675,2.4498886414253898,19.387587080430652,15.85307156428119,4.95352559510159,4.62308547404117
Massachusetts,35,1.4130791981597108,1.3919821826280625,18.362555720653788,14.660723130262506,5.15029451241611,4.13599785459545
Michigan,35,0.374251497005988,1.4618547281863865,19.304524361948957,16.069605568445475,5.53873951555678,4.71838476614437
Minnesota,35,1.1086474501108647,1.2220817530552044,17.89666666666667,14.353333333333332,5.14670941749657,4.83120505756062
Mississippi,35,2.258469259723965,1.924500370096225,22.87420382165605,19.745222929936304,5.04264922841391,4.61822466614297
Missouri,35,0.9523809523809524,1.6595744680851063,18.158102766798415,15.107509881422924,5.44534575322144,5.22343618973543
Montana,35,1.1111111111111112,1.322556943423953,21.78804347826087,17.63586956521739,5.10663426037388,5.43215855297408
Nebraska,35,1,0.7334963325183375,19.793684210526315,16.596842105263157,4.87950127980607,5.06992900361081
Nevada,35,1.0217113665389528,1.6333495855680156,19.74278647980214,16.96207749381698,5.22715912985781,5.12685147306151
New Hampshire,35,2.7450980392156863,2.4377726456248396,18.24324324324324,14.736486486486486,5.65766317004783,4.79156734996557
New Jersey,35,1.7142857142857142,2.176933765632237,19.850557620817845,16.14349442379182,5.17036566298779,3.96618736443276
New Mexico,35,1.5161502966381015,1.1485148514851484,19.15175953079179,16.248533724340177,5.12896655377226,5.16941030277872
New York,35,2.7121609798775155,2.0652173913043477,24.317435496481625,20.146989835809222,5.14445079604701,3.8542993998461
North Dakota,35,5.77319587628866,4.608788853161844,21.52878464818763,17.733475479744136,4.75668970886912,4.82199411831241
Ohio,35,1.1574074074074074,0.5825242718446602,20.720729366602686,17.504798464491362,5.18232050635416,5.230507618144
Oklahoma,35,3.3398821218074657,2.7904328018223237,22.28042328042328,18.76402116402116,5.21922515533978,5.8907265754896
Oregon,35,1.0787486515641855,1.7812758906379451,20.041965764770843,16.826062948647156,5.5444641715855,5.28630944466605
