state,EST_ST,week,count,anxiety_percentage,depression_percentage
massachusetts,25,7,1929,19.21928460342146,15.34473820632452
massachusetts,25,8,2799,13.245444801714898,10.575205430510897
massachusetts,25,9,2315,16.014686825053996,12.786177105831534
massachusetts,25,10,2150,17.24372093023256,13.767441860465116
massachusetts,25,11,2227,16.647507858105072,13.29142343960485
massachusetts,25,12,2091,17.730272596843616,14.155906264945004
massachusetts,25,13,3034,12.21951219512195,9.75609756097561
massachusetts,25,14,2923,12.683544303797468,10.126582278481012
massachusetts,25,15,2746,13.501092498179167,10.77931536780772
massachusetts,25,16,2656,13.958584337349398,11.144578313253012
massachusetts,25,17,2585,14.341972920696325,11.450676982591876
massachusetts,25,18,1634,22.689106487148106,18.115055079559365
massachusetts,25,19,2003,18.50923614578133,14.777833250124813
massachusetts,25,20,2032,18.24507874015748,14.566929133858268
massachusetts,25,21,1972,18.800202839756594,15.010141987829616
massachusetts,25,22,1925,19.25922077922078,15.376623376623376
massachusetts,25,23,2354,15.749362786745964,12.574341546304163
massachusetts,25,24,2221,16.69248086447546,13.327330031517334
massachusetts,25,25,2175,17.04551724137931,13.60919540229885
massachusetts,25,26,2197,16.874829312699134,13.472917614929449
massachusetts,25,27,2255,16.44079822616408,13.12638580931264
massachusetts,25,28,2132,17.389305816135085,13.883677298311444
massachusetts,25,29,2323,15.959535083943177,12.74214377959535
massachusetts,25,30,1733,21.392960184650896,17.080207732256202
massachusetts,25,31,2021,18.344383968332508,14.646214745175657
massachusetts,25,32,1842,20.127035830618897,16.069489685124864
massachusetts,25,33,1863,19.900161030595815,15.888352120236178
massachusetts,25,34,1829,20.270092946965555,16.183706943685074
massachusetts,25,35,2019,18.362555720653788,14.660723130262506
massachusetts,25,36,1965,18.867175572519084,15.063613231552162
massachusetts,25,37,1733,21.392960184650896,17.080207732256202
massachusetts,25,38,1598,23.20025031289111,18.523153942428035
massachusetts,25,39,1596,23.229323308270676,18.546365914786968
michigan,26,1,1966,16.928280773143438,14.091556459816887
michigan,26,2,1140,29.193859649122807,24.301754385964912
michigan,26,3,3373,9.866884079454492,8.213459828046249
michigan,26,4,2593,12.834940223679135,10.684149633629
michigan,26,5,3048,10.918963254593177,9.089238845144356
michigan,26,6,2119,15.705993393109958,13.07409155261916
michigan,26,7,2094,15.893505253104108,13.23018147086915
michigan,26,8,2677,12.43220022413149,10.348898020171834
michigan,26,9,2565,12.97504873294347,10.800779727095517
michigan,26,10,2535,13.128599605522682,10.928599605522685
michigan,26,11,2552,13.04114420062696,10.855799373040751
michigan,26,12,2265,14.693598233995584,12.231346578366448
michigan,26,13,2473,13.457743631217143,11.202587949858472
michigan,26,14,2386,13.948449287510478,11.611064543168483
michigan,26,15,2125,15.66164705882353,13.037176470588236
michigan,26,16,2056,16.18725680933852,13.474708171206226
michigan,26,17,1837,18.11703864997278,15.081110506260206
michigan,26,18,1220,27.279508196721313,22.708196721311474
michigan,26,19,1661,20.036724864539433,16.679108970499698
michigan,26,20,1711,19.451198129748686,16.191700759789597
michigan,26,21,1662,20.024669073405537,16.6690734055355
michigan,26,22,1668,19.952637889688248,16.609112709832136
michigan,26,23,2050,16.234634146341463,13.514146341463414
michigan,26,24,1998,16.657157157157158,13.865865865865866
michigan,26,25,2010,16.55771144278607,13.783084577114428
michigan,26,26,2022,16.45944609297725,13.701285855588528
michigan,26,27,2081,15.992791926958192,13.312830370014415
michigan,26,28,2164,15.379390018484289,12.802218114602589
michigan,26,29,2270,14.661233480176213,12.204405286343611
michigan,26,30,1637,20.33048259010385,16.923640806353085
michigan,26,31,1954,17.03224155578301,14.178096212896625
michigan,26,32,1907,17.452018877818563,14.527530152071316
michigan,26,33,1800,18.489444444444445,15.391111111111112
michigan,26,34,1659,20.060880048221826,16.699216395418926
michigan,26,35,1724,19.304524361948957,16.069605568445475
michigan,26,36,1753,18.98516828294353,15.80376497432972
michigan,26,37,1679,19.82191780821918,16.500297796307326
michigan,26,38,1652,20.14588377723971,16.769975786924938
michigan,26,39,1587,20.971014492753625,17.45683679899181
minnesota,27,1,1471,18.249490142760028,14.636301835486064
minnesota,27,2,844,31.80687203791469,25.509478672985782
minnesota,27,3,2668,10.06184407796102,8.069715142428786
minnesota,27,4,1980,13.558080808080808,10.873737373737374
minnesota,27,5,1897,14.15129151291513,11.349499209277807
minnesota,27,6,1635,16.418960244648318,13.168195718654436
minnesota,27,7,1457,18.4248455730954,14.776938915579958
minnesota,27,8,2287,11.738084827284652,9.414079580236118
minnesota,27,9,1735,15.472622478386167,12.409221902017292
minnesota,27,10,1717,15.634828188701222,12.539312754804891
minnesota,27,11,1686,15.922301304863582,12.769869513641757
minnesota,27,12,1593,16.85185185185185,13.515379786566228
minnesota,27,13,2439,11.006560065600656,8.82738827388274
