"","state","week","total_cases","total_deaths","total_cases_us","total_deaths_us","total_cases_state_all_weeks","total_deaths_state_all_weeks","percentage_cases_spatial","percentage_deaths_spatial","percentage_cases_bar","percentage_deaths_bar"
"1134","Nevada",1,64694,3049,13644993,786250,91329303,1539990,0.474122632382442,0.387790143084261,0.0708359725465112,0.197988298625316
"1135","Nevada",2,36429,1839,7940175,474933,91329303,1539990,0.458793414502829,0.387212512080651,0.0398875265696487,0.119416359846493
"1136","Nevada",3,41310,2120,8896630,534045,91329303,1539990,0.464333123890732,0.396970292765591,0.0452319229897112,0.137663231579426
"1137","Nevada",4,46608,2346,9837494,582599,91329303,1539990,0.473779196205863,0.402678343079889,0.0510329089011005,0.152338651549685
"1138","Nevada",5,51328,2501,10727153,623896,91329303,1539990,0.478486696330331,0.400868093400182,0.0562010201698353,0.162403651971766
"1139","Nevada",6,57452,2627,11646234,661268,91329303,1539990,0.493309682769555,0.397267068722515,0.0629064255532532,0.170585523282619
"1140","Nevada",7,66348,2782,12570310,693159,91329303,1539990,0.527815145370321,0.401350916600665,0.0726470013682246,0.180650523704699
"1141","Nevada",8,78535,2909,13688447,718836,91329303,1539990,0.573731994579078,0.404682013699926,0.0859910208665449,0.188897330502146
"1142","Nevada",9,100410,3005,15271347,754416,91329303,1539990,0.657505850662682,0.398321350554601,0.109942807731709,0.195131137215177
"1143","Nevada",10,131716,3208,17321941,779487,91329303,1539990,0.76039977275064,0.411552726344378,0.14422096268489,0.208313040993773
"1144","Nevada",11,163939,3549,19735326,808303,91329303,1539990,0.830688076801974,0.439068022758792,0.179503176543458,0.23045604192235
"1145","Nevada",12,210238,3890,22513159,840740,91329303,1539990,0.933844957075993,0.462687632323905,0.230197749346669,0.252599042850928
"1146","Nevada",13,863730,16045,75392468,2322210,91329303,1539990,1.14564494691963,0.690936650862756,0.945731514013635,1.04188988240183
"1147","Nevada",14,936788,18303,82613109,2473036,91329303,1539990,1.13394594555206,0.74010244897365,1.02572555491856,1.18851421113124
"1148","Nevada",15,997027,20116,89958441,2613757,91329303,1539990,1.1083195628079,0.769620129185689,1.09168357498579,1.30624224832629
"1149","Nevada",16,1081493,21253,98283032,2744562,91329303,1539990,1.1003862803093,0.774367640446818,1.18416867804192,1.38007389658374
"1150","Nevada",17,1193647,22418,108710383,2877454,91329303,1539990,1.09800643421521,0.779091516319635,1.30697044737109,1.45572373846583
"1151","Nevada",18,1353097,23511,123742353,3032206,91329303,1539990,1.09347928756454,0.775376079329703,1.48155844351511,1.52669822531315
"1152","Nevada",19,1621518,25300,149140694,3242863,91329303,1539990,1.08724048179634,0.78017480232745,1.77546301869839,1.64286781082994
"1153","Nevada",20,2030438,28580,180323778,3537929,91329303,1539990,1.12599570756553,0.807817228666827,2.22320540429395,1.85585620685849
"1154","Nevada",21,2496086,33980,218484424,3967089,91329303,1539990,1.14245489646438,0.856547458350443,2.73306147973121,2.20650783446646
"1155","Nevada",22,3275890,46336,297414902,4959558,91329303,1539990,1.10145455993325,0.934276804505563,3.58689915765589,3.00885070682277
"1156","Nevada",23,3547013,53291,331246599,5536919,91329303,1539990,1.07080737151961,0.962466671446702,3.88376225755276,3.46047701608452
"1157","Nevada",24,3707363,59397,353902473,6107034,91329303,1539990,1.0475662881282,0.97259979230507,4.05933569864209,3.8569730972279
"1158","Nevada",25,3793820,63617,367750323,6540703,91329303,1539990,1.03162927745409,0.972632452505488,4.15400082490501,4.13100085065487
"1159","Nevada",26,3862791,65791,379269903,6856950,91329303,1539990,1.01848076249805,0.95947906868214,4.2295198508194,4.27217059851038
"1160","Nevada",27,3922221,67524,389709216,7073156,91329303,1539990,1.00644810001106,0.954651643481354,4.29459206537468,4.3847037967779
"1161","Nevada",28,4048029,70039,413555826,7388536,91329303,1539990,0.978834959031625,0.947941513718008,4.43234412946303,4.54801654556198
"1162","Nevada",29,4115961,71229,422815728,7515404,91329303,1539990,0.973464497044443,0.947773399806584,4.506725513935,4.62528977460893
"1163","Nevada",30,4177477,72011,429112805,7628850,91329303,1539990,0.973514877981793,0.943929950123544,4.57408177088574,4.67606932512549
"1164","Nevada",31,4217891,72681,432772697,7733730,91329303,1539990,0.974620402173846,0.939792312377081,4.61833262868545,4.71957610114351
"1165","Nevada",32,4263115,73231,434955807,7800559,91329303,1539990,0.980126010824819,0.93879169428755,4.66785014224843,4.75529061877025
"1166","Nevada",33,4328716,73828,437380590,7853097,91329303,1539990,0.989690923412948,0.940113180825348,4.73967922431205,4.79405710426691
"1167","Nevada",34,4583249,76156,451183101,7948347,91329303,1539990,1.01582904808308,0.958136326962072,5.01837728905037,4.9452269170579
"1168","Nevada",35,4773928,78953,470282286,8038989,91329303,1539990,1.0151196721877,0.98212598624031,5.22715912985781,5.12685147306151
"1169","Nevada",36,4972654,82557,496698578,8212460,91329303,1539990,1.00114117902709,1.00526517024132,5.44475194341514,5.36087896674654
"1170","Nevada",37,5171545,86192,525106961,8480704,91329303,1539990,0.984855540698117,1.01633071971384,5.66252542187911,5.59691946051598
"1171","Nevada",38,5369927,89964,551080385,8831887,91329303,1539990,0.974436243090017,1.01862716314192,5.87974157647957,5.84185611594881
"1172","Nevada",39,5574882,93862,570984508,9178044,91329303,1539990,0.976363092499175,1.02267977795705,6.10415476399727,6.09497464269248
"1173","New Hampshire",1,27676,911,13644993,786250,23494983,377580,0.20282897909878,0.115866454689984,0.117795360822351,0.241273372530325
"1174","New Hampshire",2,18271,774,7940175,474933,23494983,377580,0.230108278469933,0.16297035581861,0.0777655382853437,0.204989671063086
